subject_id,ethnic_group,sex,marital_status,territorial_section,school_yrs,town_yrs,kidnap
479,3,0,1,3,0,0,1
480,3,0,1,3,0,0,1
481,3,0,3,3,0,0,1
482,3,1,3,2,5,10,1
483,3,0,3,2,1,13,0
484,3,0,1,2,1,0,1
485,3,0,1,2,0,0,1
486,3,1,3,2,0,0,1
487,3,1,1,2,0,0,1
488,3,0,1,2,1,0,1
489,3,0,1,2,0,0,0
490,3,0,1,2,0,30,1
491,3,1,1,2,0,0,1
492,3,0,3,2,0,0,1
493,3,1,1,2,0,0,0
494,3,0,3,2,0,0,0
495,3,1,3,2,0,0,1
496,3,0,1,2,3,0,1
497,3,1,1,2,0,3,0
498,3,0,1,2,0,0,1
499,3,0,1,2,1,3,1
500,3,0,1,2,0,0,1
501,3,0,3,2,2,0,1
502,3,1,1,2,0,0,1
503,3,1,1,2,0,0,1
504,3,0,1,2,0,0,0
505,3,0,3,2,0,0,1
506,3,0,1,2,0,0,1
507,3,1,1,2,0,0,1
508,3,1,1,2,0,0,0
509,3,0,3,2,1,0,1
510,3,0,3,2,0,0,0
511,3,0,1,2,0,0,1
512,3,0,1,2,0,0,0
513,3,1,3,2,0,1,1
514,3,0,3,2,3,0,0
515,3,0,1,2,0,0,1
516,3,1,3,2,2,1,0
517,3,0,1,2,0,0,0
518,3,0,1,3,0,0,1
519,3,0,1,3,0,0,0
520,3,0,3,3,0,0,0
521,3,0,1,3,0,3,0
522,3,0,1,3,0,0,0
523,3,0,1,3,0,0,0
524,3,0,1,3,0,0,0
525,3,0,1,3,0,0,1
526,3,0,1,3,0,2,0
527,3,0,3,3,2,1,0
528,3,0,3,3,0,0,0
529,3,0,3,3,0,15,1
530,3,0,1,3,0,0,0
531,3,0,1,3,0,0,0
532,3,0,3,3,0,0,1
533,3,0,3,3,0,0,0
534,3,1,1,3,2,0,0
535,3,0,3,3,0,0,0
536,3,1,3,3,0,0,0
537,3,0,1,3,0,0,1
538,3,0,3,3,2,10,0
539,3,1,1,3,0,10,0
540,3,1,1,3,0,0,0
541,3,1,3,3,0,0,1
542,3,1,1,3,0,0,0
543,3,0,1,1,0,1,0
544,3,1,3,1,10,15,1
545,3,0,1,1,0,0,1
546,3,0,1,1,0,1,0
547,3,0,3,1,1,5,1
548,3,0,3,1,0,0,1
549,3,0,1,1,4,3,0
550,3,0,1,1,0,0,1
551,3,0,1,1,0,0,0
552,3,0,1,1,0,0,1
553,3,1,1,1,0,0,0
554,3,0,1,1,0,0,0
555,3,1,3,1,0,0,0
556,3,0,3,1,0,10,0
557,3,1,1,1,2,2,1
558,3,1,2,1,0,0,0
559,3,1,1,1,0,0,0
560,3,1,2,1,0,3,1
561,3,0,1,1,0,0,0
562,3,0,1,1,1,3,0
563,3,0,1,1,0,0,1
