"agemate_no_report","ethnic_group","sex","marital_status","territorial_section","attend_school","school_yrs","town","town_yrs"
0,1,0,4,0,0,0,1,5
0,1,1,1,0,0,0,1,4
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,0,1,0,0,0,1,4
0,1,0,1,0,0,0,1,4
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,1,2
0,1,0,4,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,1,1
0,1,0,4,0,1,3,0,0
0,1,0,4,0,0,0,1,15
0,1,0,1,0,0,0,1,5
0,1,0,4,0,0,0,1,19
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
1,1,0,4,0,0,0,1,1
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,1,6
1,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,1,3,1,4
1,1,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
1,1,0,4,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,1,1,1,2
0,1,1,1,0,0,0,0,0
0,1,0,1,0,0,0,1,3
0,1,1,1,0,0,0,1,8
0,1,0,1,0,0,0,1,3
0,1,0,1,0,0,0,1,5
0,1,0,1,0,1,1,1,2
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,0,1,0,0,0,1,2
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,1,3
0,1,1,1,0,0,0,0,0
0,1,1,1,0,1,16,1,6
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,0,1,0,1,2,1,3
0,1,0,1,0,0,0,0,0
0,1,0,4,0,0,0,0,0
0,1,1,1,0,0,0,1,8
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,1,3
1,1,0,1,0,0,0,1,20
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,4,0,1,1,1,10
0,1,1,1,0,0,0,1,25
0,1,0,4,0,0,0,0,0
1,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
1,1,0,4,0,0,0,0,0
0,1,1,1,0,0,0,1,1
0,1,1,1,0,0,0,1,10
0,1,1,1,0,0,0,1,4
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,1,10
0,1,1,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,0,4,0,0,0,0,0
0,1,0,1,0,0,0,1,1
1,1,0,1,0,0,0,0,0
0,1,0,4,0,0,0,1,10
1,1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,1,1
0,1,0,4,0,0,0,0,0
0,1,0,4,0,0,0,0,0
0,1,0,4,0,0,0,1,2
0,1,0,1,0,0,0,1,10
0,2,1,1,0,1,8,1,4
0,2,1,1,0,0,0,0,0
